UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
001237,CIENEGUILLA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001238,SAN MARCOS DE ROCCHAC,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001239,SAN JOSE DE QUERO,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001240,HUACHOCOLPA,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001241,HUANCAYA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001242,TANTA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001243,SICAYA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001244,JENARO HERRERA,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001245,SUITUCANCHA,2022,4,0.1659875512123108,0.0,0.41036102175712585,0.1749972701072693,0.0,0.3633294403553009,0.5
001246,MASMA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001247,HUAMALI,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001248,CANCHAYLLO,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001249,HUERTAS,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001250,JANJAILLO,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001251,MASMA CHICCHE,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001252,JULCAN,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001253,SAN PEDRO DE CASTA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001254,MARCO,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001255,PANCAN,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001256,CURICACA,2022,4,0.548261284828186,0.0,2.193045139312744,0.9496164321899414,0.0,1.5351312160491943,0.75
001257,MATUCANA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001258,HUANZA,2022,4,0.008411194197833538,0.0,0.03364477679133415,0.014568615704774857,0.0,0.0235513374209404,0.75
001259,LA OROYA,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001260,SAN PEDRO DE LARAOS,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001261,RICRAN,2022,5,1.2246843576431274,0.0,3.606257677078247,1.5389573574066162,0.0,3.1706199645996094,0.6
001262,HUARICOLCA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001263,MOLINOS,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001264,APATA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001265,COMAS,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001266,HUAMANTANGA,2022,9,0.41588932275772095,0.0,3.7430038452148438,1.1763126850128174,0.0,0.7486000657081604,0.8888888888888888
001267,CANTA,2022,4,0.9805633425712585,0.0,3.922253370285034,1.69838547706604,0.0,2.7455766201019287,0.75
001268,MOROCOCHA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001269,CHANCAY,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001270,LAS PIEDRAS,2022,43,2.538273811340332,0.0,21.903451919555664,6.99755334854126,0.0,17.42710304260254,0.8837209302325582
001271,TARMA,2022,7,0.7525453567504883,0.0,5.267817497253418,1.8433520793914795,0.0,2.1071250438690186,0.8571428571428571
001272,AUCALLAMA,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001273,TAPO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001274,LLAYLLA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001275,SAN BUENAVENTURA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
