UBIGEO,NAME_CLEAN
000001,SANTA LEONOR
000001,CHECRAS
000001,CARHUAMAYO
000001,VICCO
000001,CHANCHAMAYO
000001,LACABAMBA
000001,TAURIJA
000001,TAYABAMBA
000001,SALAVERRY
000001,OYON
000001,YANAHUANCA
000001,SAN MIGUEL DE CAURI
000001,SUPE PUERTO
000001,SUPE
000001,AMBAR
000001,PATIVILCA
000001,COLQUIOC
000001,PARAMONGA
000001,HUARMEY
000001,LAGUNAS
000001,URARINAS
000001,JEBEROS
000001,CAHUAPANAS
000001,BALSAPUERTO
000001,RIO TAMBO
000001,SIMON BOLIVAR
000001,GORGOR
000001,MANAS
000001,PAUCARTAMBO
000001,MACHE
000001,JULCAN
000001,LAREDO
000001,SALPO
000001,SITABAMBA
000001,HUAYO
000001,PALLASCA
000001,YUPAN
000001,SICSIBAMBA
000001,HONORIA
000001,CASHAPAMPA
000001,HUANCASPATA
000001,MASISEA
000001,CHAO
000001,QUICHES
000001,CHINGALPO
000001,NUEVO PROGRESO
000001,BOLOGNESI
000001,HUACASCHUQUE
000001,HUANDOVAL
000001,URPAY
000001,SHUNTE
000001,SANTA CRUZ DE CHUCA
000001,TAURIA
000001,JAQUI
000001,SAYLA
000001,AMANTANI
000001,SINCOS
000001,EL TAMBO
000001,SAN BARTOLOME
000001,MATAHUASI
000001,SAN FRANCISCO DE ASIS DE YARUSYACAN
000001,LLATA
000001,QUECHUALLA
000001,TORO
000001,MOHO
000001,CAMINACA
000001,SALAMANCA
000001,SAMAN
000001,COTAHUASI
000001,SIBAYO
000001,LAMPA
000001,NICASIO
000001,HUAYRAPATA
000001,ACHAYA
000001,LOMAS
000001,TOMEPAMPA
000001,CHOCO
000001,CHARCANA
000001,ROSASPATA
000001,CONDOROMA
000001,VILAVILA
000001,ALCA
000001,HUANCANE
000001,VILQUE CHICO
000001,CHUPA
000001,OCUVIRI
000001,YANTALO
000001,SALAS
000001,YAQUERANA
000001,REQUENA
000001,SAQUENA
000001,SAN MATEO DE OTAO
000001,SANTA EULALIA
000001,JAUJA
000001,SAN NICOLAS
000001,HUAYLLAN
000001,ELEAZAR GUZMAN BARRON
000001,CACERES DEL PERU
000001,HUAYLAS
000001,MUSGA
000001,CHAVINILLO
000001,SANTA MARIA DEL VALLE
000001,TAHUANIA
000001,CHURUBAMBA
000001,MARIAS
000001,YACUS
000001,TONGOD
000001,PAMPAS CHICO
000001,PARARIN
000001,JIVIA
000001,HUASTA
000001,MARCA
000001,GRANADA
000001,QUINJALCA
000001,VALERA
000001,CALLAYUC
000001,SAN ROQUE DE CUMBAZA
000001,COROSHA
000001,EL MILAGRO
000001,MAQUIA
000001,CHONTALI
000001,SALLIQUE
000001,BAGUA
000001,MARIA
000001,SAN JUAN DE LOPECANCHA
000001,TARAPOTO
000001,CACATACHI
000001,MARCONA
000001,SANTIAGO DE PUPUJA
000001,TISCO
000001,JOSE DOMINGO CHOQUEHUANCA
000001,HUATASANI
000001,ARAPA
000001,PALPA
000001,ANANEA
000001,MUNANI
000001,PUTINA
000001,LAYO
000001,SINA
000001,QUEHUE
000001,MARANGANI
000001,QUIACA
000001,OCUCAJE
000001,POTONI
000001,HUAQUIRCA
000001,QUINOTA
000001,SABAINO
000001,VIRUNDO
000001,CUYOCUYO
000001,KUNTURKANKI
000001,CHECCA
000001,VELILLE
000001,SAN ANTON
000001,JUAN ESPINOZA MEDRANO
000001,COTARUSE
000001,ANTABAMBA
000001,CARAYBAMBA
000001,LANGUI
000001,PARCONA
000001,ICA
000001,LOS AQUIJES
000001,TIBILLO
000001,COMBAPATA
000001,OMACHA
000001,IHUAYLLO
000001,JUSTO APU SAHUARAURA
000001,TAPAIRIHUA
000001,SANTIAGO DE QUIRAHUARA
000001,CURASCO
000001,USICAYOS
